regiao,bairro
Sudeste,Vila São Benedito
Sudeste,Jardim Souto
Sudeste,Residencial Cambuí
Sudeste,Jardim da Granja
Sudeste,Parque Santa Rita
Sudeste,Chácaras São José
Sudeste,Jardim Uirá
Sudeste,Jardim Colorado
Sudeste,Parque Martim Cererê
Sudeste,Residencial Flamboyant
Sudeste,Residencial Bell Park
Sudeste,Sítio Bom Jesus
Sudeste,Residencial São Francisco
Sudeste,Altos do Uirá
Sudeste,Jardim Santa Luzia
Sudeste,Recanto dos Eucaliptos
Sudeste,Jardim Santa Rosa
Sudeste,Jardim Santa Julia
Sudeste,Residencial Santa Rosa
Sudeste,Putim
Sudeste,Parque Santos Dumont
Sudeste,Jardim do Lago
Sudeste,Jardim São Leopoldo
Sudeste,Jardim Santa Fé
Sudeste,Jardim Santo Onofre
Sudeste,Vila Iracema
Sudeste,Vila Rica
Sudeste,Jardim São Judas Tadeu
Sudeste,Conjunto São Judas Tadeu
Sudeste,Conjunto Habitacional Polícia Militar
Sudeste,Residencial Jatobá
Sudeste,Residencial Juritis
Sudeste,Vila Adriana I
Sudeste,Vila Adriana II
Sudeste,Pernambucana de Cima
Sudeste,Conjunto Residencial Nosso Teto
Sudeste,Recanto das Jabuticabeiras 
Sudeste,Recanto dos Nobres
Sudeste,C.T.A.
SFX,São Francisco Xavier
SFX,Bairro dos Ferreiras
Norte,Buquirinha
Norte,Vila Paiva
Norte,Jardim Boa Vista
Norte,Jardim Santa Matilde
Norte,Vila Cândida
Norte,Vila São Geraldo
Norte,Recanto Caetê
Norte,Altos da Vila Paiva
Norte,Conjunto Habitacional São Geraldo
Norte,Alto da Ponte
Norte,Jardim Maritéia
Norte,Vila Leonídia
Norte,Vila Nossa Senhora das Graças
Norte,Vila Veneziani
Norte,São Sebastião
Norte,Vila Santarém
Norte,Vila Sinhá
Norte,Jardim Guimarães
Norte,Vila Leila
Norte,Vila Monte Alegre
Norte,Vila Leila II
Norte,Vila Unidos
Norte,Chácara Oliveiras
Norte,Chácara Miranda
Norte,Minas Gerais
Norte,Vila Dirce
Norte,Jardim Altos de Santana
Norte,Jardim Telespark
Norte,Vila Machado
Norte,Vila Alexandrina 
Norte,Vila do Carmo
Norte,Vila Dona
Norte,Vila Esmeralda
Norte,Vila Simone
Norte,Vila do Pena
Norte,Santana
Norte,Jardim Anchieta
Norte,Jardim Nova Paulicéia
Norte,Vila Cristina
Norte,Conjunto Residencial Nova Cristina
Norte,Jardim Jaci
Norte,Vila Rangel
Norte,Vila Chiquinha
Norte,Jardim Ouro Preto
Norte,Vila Pasto Alto
Norte,Vila César
Norte,Vila Rossi
Norte,Vila Zizinha
Norte,Favela Vila Rhodia
Norte,Vargem Grande
Norte,Chácara Águas do Canindu
Norte,Chácara Hawai
Norte,Espelho D'Água
Norte,Colinas do Parahyba
Norte,Fazenda Jataí
Sul,Parque Interlagos
Sul,Pernambucana de Baixo
